Player 1 total cards,Player 2 total cards,Player 1 card,Player 2 card,Winner,War
13,13,10 of Diamond,7 of Hearts,Player 1,False
14,12,4 of Hearts,2 of Diamond,Player 1,False
15,11,7 of Diamond,4 of Diamond,Player 1,False
16,10,8 of Hearts,Q of Diamond,Player 2,False
15,11,K of Diamond,10 of Hearts,Player 1,False
16,10,A of Hearts,6 of Diamond,Player 1,False
17,9,3 of Hearts,K of Hearts,Player 2,False
16,10,9 of Hearts,2 of Hearts,Player 1,False
17,9,5 of Diamond,J of Diamond,Player 2,False
16,10,6 of Hearts,Q of Hearts,Player 2,False
15,11,9 of Diamond,3 of Diamond,Player 1,False
16,10,8 of Diamond,A of Diamond,Player 2,False
15,11,J of Hearts,5 of Hearts,Player 1,False
16,10,7 of Hearts,8 of Hearts,Player 2,False
15,11,10 of Diamond,Q of Diamond,Player 2,False
14,12,2 of Diamond,3 of Hearts,Player 2,False
13,13,4 of Hearts,K of Hearts,Player 2,False
12,14,4 of Diamond,5 of Diamond,Player 2,False
11,15,7 of Diamond,J of Diamond,Player 2,False
10,16,10 of Hearts,6 of Hearts,Player 1,False
11,15,K of Diamond,Q of Hearts,Player 1,False
12,14,6 of Diamond,8 of Diamond,Player 2,False
11,15,A of Hearts,A of Diamond,None,True
11,15,9 of Diamond,10 of Diamond,Player 2,False
6,20,5 of Hearts,Q of Diamond,Player 2,False
5,21,J of Hearts,2 of Diamond,Player 1,False
6,20,6 of Hearts,3 of Hearts,Player 1,False
7,19,10 of Hearts,4 of Hearts,Player 1,False
8,18,Q of Hearts,K of Hearts,Player 2,False
7,19,K of Diamond,4 of Diamond,Player 1,False
8,18,2 of Diamond,5 of Diamond,Player 2,False
7,19,J of Hearts,7 of Diamond,Player 1,False
8,18,3 of Hearts,J of Diamond,Player 2,False
7,19,6 of Hearts,6 of Diamond,None,True
7,19,K of Diamond,7 of Hearts,Player 1,False
11,15,7 of Diamond,8 of Hearts,Player 2,False
10,16,J of Hearts,10 of Diamond,Player 1,False
11,15,6 of Diamond,A of Hearts,Player 2,False
10,16,8 of Diamond,2 of Hearts,Player 1,False
11,15,A of Diamond,9 of Hearts,Player 1,False
12,14,7 of Hearts,3 of Diamond,Player 1,False
13,13,6 of Hearts,9 of Diamond,Player 2,False
12,14,4 of Hearts,5 of Hearts,Player 2,False
11,15,10 of Hearts,Q of Diamond,Player 2,False
10,16,4 of Diamond,Q of Hearts,Player 2,False
9,17,K of Diamond,K of Hearts,None,True
9,17,2 of Hearts,J of Diamond,Player 2,False
5,21,8 of Diamond,7 of Diamond,Player 1,False
6,20,9 of Hearts,8 of Hearts,Player 1,False
7,19,A of Diamond,6 of Diamond,Player 1,False
8,18,3 of Diamond,A of Hearts,Player 2,False
7,19,7 of Hearts,6 of Hearts,Player 1,False
8,18,7 of Diamond,9 of Diamond,Player 2,False
7,19,8 of Diamond,4 of Hearts,Player 1,False
8,18,8 of Hearts,5 of Hearts,Player 1,False
9,17,9 of Hearts,10 of Hearts,Player 2,False
8,18,6 of Diamond,Q of Diamond,Player 2,False
7,19,A of Diamond,4 of Diamond,Player 1,False
8,18,6 of Hearts,Q of Hearts,Player 2,False
7,19,7 of Hearts,K of Hearts,Player 2,False
6,20,4 of Hearts,2 of Diamond,Player 1,False
7,19,8 of Diamond,5 of Diamond,Player 1,False
8,18,5 of Hearts,3 of Hearts,Player 1,False
9,17,8 of Hearts,J of Diamond,Player 2,False
8,18,4 of Diamond,K of Diamond,Player 2,False
7,19,A of Diamond,10 of Diamond,Player 1,False
8,18,2 of Diamond,J of Hearts,Player 2,False
7,19,4 of Hearts,2 of Hearts,Player 1,False
8,18,5 of Diamond,3 of Diamond,Player 1,False
9,17,8 of Diamond,A of Hearts,Player 2,False
8,18,3 of Hearts,7 of Diamond,Player 2,False
7,19,5 of Hearts,9 of Diamond,Player 2,False
6,20,10 of Diamond,9 of Hearts,Player 1,False
7,19,A of Diamond,10 of Hearts,Player 1,False
8,18,2 of Hearts,6 of Diamond,Player 2,False
7,19,4 of Hearts,Q of Diamond,Player 2,False
6,20,3 of Diamond,6 of Hearts,Player 2,False
5,21,5 of Diamond,Q of Hearts,Player 2,False
4,22,9 of Hearts,7 of Hearts,Player 1,False
5,21,10 of Diamond,K of Hearts,Player 2,False
4,22,10 of Hearts,8 of Hearts,Player 1,False
5,21,A of Diamond,J of Diamond,Player 1,False
6,20,7 of Hearts,4 of Diamond,Player 1,False
7,19,9 of Hearts,K of Diamond,Player 2,False
6,20,8 of Hearts,2 of Diamond,Player 1,False
7,19,10 of Hearts,J of Hearts,Player 2,False
6,20,J of Diamond,8 of Diamond,Player 1,False
7,19,A of Diamond,A of Hearts,None,True
7,19,2 of Diamond,9 of Diamond,Player 2,False
3,23,8 of Hearts,2 of Hearts,Player 1,False
4,22,8 of Diamond,6 of Diamond,Player 1,False
5,21,J of Diamond,4 of Hearts,Player 1,False
6,20,2 of Hearts,Q of Diamond,Player 2,False
5,21,8 of Hearts,3 of Diamond,Player 1,False
6,20,6 of Diamond,6 of Hearts,None,True
6,20,J of Diamond,K of Hearts,Player 2,False
2,24,3 of Diamond,9 of Hearts,Player 2,False
1,25,8 of Hearts,K of Diamond,Player 2,False
0,26,None,None,Player 2,False
