Player 1 total cards,Player 2 total cards,Player 1 card,Player 2 card,Winner,War
13,13,6 of Diamond,9 of Diamond,Player 2,False
12,14,A of Hearts,K of Hearts,Player 1,False
13,13,K of Diamond,Q of Hearts,Player 1,False
14,12,6 of Hearts,3 of Diamond,Player 1,False
15,11,7 of Diamond,5 of Hearts,Player 1,False
16,10,3 of Hearts,Q of Diamond,Player 2,False
15,11,4 of Diamond,5 of Diamond,Player 2,False
14,12,J of Hearts,10 of Diamond,Player 1,False
15,11,4 of Hearts,A of Diamond,Player 2,False
14,12,J of Diamond,8 of Diamond,Player 1,False
15,11,8 of Hearts,7 of Hearts,Player 1,False
16,10,2 of Hearts,9 of Hearts,Player 2,False
15,11,10 of Hearts,2 of Diamond,Player 1,False
16,10,K of Hearts,6 of Diamond,Player 1,False
17,9,A of Hearts,9 of Diamond,Player 1,False
18,8,Q of Hearts,3 of Hearts,Player 1,False
19,7,K of Diamond,Q of Diamond,Player 1,False
20,6,3 of Diamond,4 of Diamond,Player 2,False
19,7,6 of Hearts,5 of Diamond,Player 1,False
20,6,5 of Hearts,4 of Hearts,Player 1,False
21,5,7 of Diamond,A of Diamond,Player 2,False
20,6,10 of Diamond,2 of Hearts,Player 1,False
21,5,J of Hearts,9 of Hearts,Player 1,False
22,4,8 of Diamond,3 of Diamond,Player 1,False
23,3,J of Diamond,4 of Diamond,Player 1,False
24,2,7 of Hearts,7 of Diamond,None,True
